UserID,RG_case,Missing_Daily_Transactions,First_Deposit_Date,Registration_date,CountryName,LanguageName,Gender,YearofBirth,age_at_registration,sum_stakes_fixedodds,sum_bets_fixedodds,bettingdays_fixedodds,duration_fixedodds,frequency_fixedodds,bets_per_day_fixedodds,euros_per_bet_fixedodds,net_loss_fixedodds,percent_lost_fixedodds,sum_stakes_liveaction,sum_bets_liveaction,bettingdays_liveaction,duration_liveaction,frequency_liveaction,bets_per_day_liveaction,euros_per_bet_liveaction,net_loss_liveaction,percent_lost_liveaction,sum_stakes_casino,sum_bets_casino,bettingdays_casino,duration_casino,frequency_casino,bets_per_day_casino,euros_per_bet_casino,net_loss_casino,percent_lost_casino,net_loss_fixedodds_nonzero,percent_lost_fixedodds_nonzero,net_loss_liveaction_nonzero,percent_lost_liveaction_nonzero,net_loss_casino_nonzero,percent_lost_casino_nonzero,sum_stakes_fixedodds_sqrt,sum_bets_fixedodds_sqrt,bettingdays_fixedodds_sqrt,duration_fixedodds_sqrt,frequency_fixedodds_sqrt,bets_per_day_fixedodds_sqrt,euros_per_bet_fixedodds_sqrt,net_loss_fixedodds_nonzero_sqrt,percent_lost_fixedodds_nonzero_s,sum_stakes_liveaction_sqrt,sum_bets_liveaction_sqrt,bettingdays_liveaction_sqrt,duration_liveaction_sqrt,frequency_liveaction_sqrt,bets_per_day_liveaction_sqrt,euros_per_bet_liveaction_sqrt,net_loss_liveaction_nonzero_sqrt,percent_lost_liveaction_nonzero_,sum_stakes_casino_sqrt,sum_bets_casino_sqrt,bettingdays_casino_sqrt,duration_casino_sqrt,frequency_casino_sqrt,bets_per_day_casino_sqrt,euros_per_bet_casino_sqrt,net_loss_casino_nonzero_sqrt,percent_lost_casino_nonzero_sqrt,sum_stakes_fixedodds_sqrt_zeros,sum_bets_fixedodds_sqrt_zeros,bettingdays_fixedodds_sqrt_zeros,duration_fixedodds_sqrt_zeros,frequency_fixedodds_sqrt_zeros,bets_per_day_fixedodds_sqrt_zero,euros_per_bet_fixedodds_sqrt_zer,net_loss_fixedodds_sqrt_zeros,percent_lost_fixedodds_sqrt_zero,sum_stakes_liveaction_sqrt_zeros,sum_bets_liveaction_sqrt_zeros,bettingdays_liveaction_sqrt_zero,duration_liveaction_sqrt_zeros,frequency_liveaction_sqrt_zeros,bets_per_day_liveaction_sqrt_zer,euros_per_bet_liveaction_sqrt_ze,net_loss_liveaction_sqrt_zeros,percent_lost_liveaction_sqrt_zer,sum_stakes_casino_sqrt_zeros,sum_bets_casino_sqrt_zeros,bettingdays_casino_sqrt_zeros,duration_casino_sqrt_zeros,frequency_casino_sqrt_zeros,bets_per_day_casino_sqrt_zeros,euros_per_bet_casino_sqrt_zeros,net_loss_casino_sqrt_zeros,percent_lost_casino_sqrt_zeros,time_to_deposit
96950,0,0,06/22/2004,06/28/2000,Austria,German,M,1981,18,365.83,243,82,2182,0.0375802016,2.9634146341,1.505473251,107.43,0.2936609901,2452.729,688,81,2198,0.0368516833,8.4938271605,3.5650130814,160.879,0.0655918367,,,,,,,,,,33325.43,13.29366099,22223.879,8.0655918367,,,19.126682932,15.588457268,9.0553851381,46.711882857,0.1938561365,1.7214571253,1.2269772822,182.55254038,3.6460473105,49.525034074,26.229754097,9,46.882832679,0.1919679227,2.9144171219,1.888124223,149.0767554,2.8399985628,,,,,,,,,,19.126682932,15.588457268,9.0553851381,46.711882857,0.1938561365,1.7214571253,1.2269772822,182.55254038,3.6460473105,49.525034074,26.229754097,9,46.882832679,0.1919679227,2.9144171219,1.888124223,149.0767554,2.8399985628,0,0,0,0,0,0,0,0,0,1455
99596,0,0,03/13/2001,06/29/2000,Austria,German,M,1973,26,415.51,160,52,2685,0.0193668529,3.0769230769,2.5969375,322.85,0.7769969435,2.46,1,1,1,1,1,2.46,2.46,1,85,76,4,162,0.024691358,19,1.1184210526,24.5,0.2882352941,33540.85,13.776996944,22065.46,9,35876.5,7.2882352941,20.384062402,12.649110641,7.2111025509,51.816985632,0.1391648407,1.7541160386,1.6115016289,183.14161187,3.7117377256,1.5684387141,1,1,1,1,1,1.5684387141,148.54447146,3,9.2195444573,8.7177978871,2,12.727922061,0.1571348403,4.3588989435,1.0575542788,189.41092893,2.6996731828,20.384062402,12.649110641,7.2111025509,51.816985632,0.1391648407,1.7541160386,1.6115016289,183.14161187,3.7117377256,1.5684387141,1,1,1,1,1,1.5684387141,148.54447146,3,9.2195444573,8.7177978871,2,12.727922061,0.1571348403,4.3588989435,1.0575542788,189.41092893,2.6996731828,257
100167,0,0,02/14/2002,06/29/2000,Austria,German,F,1976,24,197.64,16,10,3004,0.0033288948,1.6,12.3525,48,0.2428658166,253.4,7,2,1254,0.0015948963,3.5,36.2,-3.46,-0.013654301,4621.21,4384,17,3168,0.0053661616,257.88235294,1.0541081204,84.36,0.0182549592,33266,13.242865817,22059.54,7.9863456985,35936.36,7.0182549592,14.058449417,4,3.1622776602,54.808758424,0.0576965753,1.2649110641,3.5146123542,182.38969269,3.6390748572,15.918542647,2.6457513111,1.4142135624,35.411862419,0.0399361532,1.8708286934,6.0166435826,148.52454343,2.8260123316,67.979482199,66.211781429,4.1231056256,56.284989118,0.0732540894,16.058715794,1.0266976772,189.5688793,2.6491989278,14.058449417,4,3.1622776602,54.808758424,0.0576965753,1.2649110641,3.5146123542,182.38969269,3.6390748572,15.918542647,2.6457513111,1.4142135624,35.411862419,0.0399361532,1.8708286934,6.0166435826,148.52454343,2.8260123316,67.979482199,66.211781429,4.1231056256,56.284989118,0.0732540894,16.058715794,1.0266976772,189.5688793,2.6491989278,595
107124,1,0,07/09/2000,07/09/2000,Austria,German,M,1975,24,47120.7685,627,220,3619,0.0607902736,2.85,75.152740829,7857.0878,0.166743626,58425.9378,2417,311,2790,0.1114695341,7.7717041801,24.172915929,1267.2378,0.0216896441,84730.62,15573,123,2409,0.0510585305,126.6097561,5.440866885,3208.42,0.0378661221,41075.0878,13.166743626,23330.2378,8.0216896441,39060.42,7.0378661221,217.07318697,25.039968051,14.832396974,60.158124971,0.2465568364,1.6881943016,8.6690680485,202.6698986,3.6286007807,241.7145792,49.162994213,17.635192089,52.820450585,0.3338705349,2.7877776418,4.9165959697,152.74239032,2.832258753,291.08524525,124.79182666,11.090536506,49.081564767,0.2259613474,11.252100075,2.3325665875,197.63709166,2.6528976841,217.07318697,25.039968051,14.832396974,60.158124971,0.2465568364,1.6881943016,8.6690680485,202.6698986,3.6286007807,241.7145792,49.162994213,17.635192089,52.820450585,0.3338705349,2.7877776418,4.9165959697,152.74239032,2.832258753,291.08524525,124.79182666,11.090536506,49.081564767,0.2259613474,11.252100075,2.3325665875,197.63709166,2.6528976841,0
107292,0,0,07/09/2000,07/09/2000,Austria,German,M,1975,24,7535.082,580,184,2798,0.065761258,3.152173913,12.99152069,-414.2289,-0.054973377,192.71,7,6,1647,0.0036429872,1.1666666667,27.53,107.59,0.5583000363,6733,500,21,2036,0.0103143418,23.80952381,13.466,595,0.0883707114,32803.7711,12.945026623,22170.59,8.5583000363,36447,7.0883707114,86.804850095,24.083189158,13.564659966,52.896124622,0.2564395797,1.7754362599,3.6043752149,181.11811367,3.5979197633,13.882002737,2.6457513111,2.4494897428,40.583247775,0.060357164,1.0801234497,5.2469038489,148.89791805,2.9254572354,82.054859698,22.360679775,4.582575695,45.122056691,0.1015595483,4.8795003647,3.6696048834,190.91097402,2.6623994275,86.804850095,24.083189158,13.564659966,52.896124622,0.2564395797,1.7754362599,3.6043752149,181.11811367,3.5979197633,13.882002737,2.6457513111,2.4494897428,40.583247775,0.060357164,1.0801234497,5.2469038489,148.89791805,2.9254572354,82.054859698,22.360679775,4.582575695,45.122056691,0.1015595483,4.8795003647,3.6696048834,190.91097402,2.6623994275,0
109445,1,0,03/17/2005,07/15/2000,Austria,German,M,1975,25,4060.4892,1032,464,2046,0.2267839687,2.224137931,3.9345825581,-369.0208,-0.090880872,349053.5605,22508,724,2064,0.3507751938,31.08839779,15.50797763,6370.6705,0.0182512692,7583767.02,36776,677,1786,0.3790593505,54.322008863,206.21511366,175054.35,0.02308277,32848.9792,12.909119128,28433.6705,8.0182512692,210906.35,7.02308277,63.721967955,32.124756808,21.540659229,45.232731512,0.4762184044,1.4913543948,1.9835782208,181.24287352,3.5929262625,590.80754946,150.0266643,26.907248094,45.431266766,0.5922627743,5.5756970676,3.9380169667,168.6228647,2.8316516857,2753.8640163,191.77069641,26.019223663,42.261093218,0.6156779601,7.3703465904,14.360191979,459.2454137,2.6501099543,63.721967955,32.124756808,21.540659229,45.232731512,0.4762184044,1.4913543948,1.9835782208,181.24287352,3.5929262625,590.80754946,150.0266643,26.907248094,45.431266766,0.5922627743,5.5756970676,3.9380169667,168.6228647,2.8316516857,2753.8640163,191.77069641,26.019223663,42.261093218,0.6156779601,7.3703465904,14.360191979,459.2454137,2.6501099543,1706
113041,0,1,07/29/2000,,.,.,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113136,1,0,07/29/2000,07/29/2000,Austria,Spanish,M,1975,24,63448.9844,3886,516,3751,0.1375633164,7.5310077519,16.327582192,17059.1457,0.2688639678,4839.4,71,28,2151,0.0130172013,2.5357142857,68.16056338,-318.25,-0.065762285,12054848.5,319271,317,3064,0.10345953,1007.1640379,37.75741768,90291,0.0074900153,50277.1457,13.268863968,21744.75,7.9342377154,126143,7.0074900153,251.89081841,62.337789502,22.715633383,61.245407991,0.3708952904,2.7442681633,4.0407403025,224.22565799,3.6426451883,69.565796193,8.4261497732,5.2915026221,46.378874501,0.1140929503,1.5923926293,8.255941096,147.4610118,2.816777896,3472.0092886,565.0407065,17.804493815,55.353410012,0.3216512553,31.735847836,6.1447064763,355.1661583,2.6471664125,251.89081841,62.337789502,22.715633383,61.245407991,0.3708952904,2.7442681633,4.0407403025,224.22565799,3.6426451883,69.565796193,8.4261497732,5.2915026221,46.378874501,0.1140929503,1.5923926293,8.255941096,147.4610118,2.816777896,3472.0092886,565.0407065,17.804493815,55.353410012,0.3216512553,31.735847836,6.1447064763,355.1661583,2.6471664125,0
114137,0,0,08/26/2005,08/03/2000,Austria,German,M,1960,40,50,3,1,1,1,3,16.666666667,50,1,,,,,,,,,,164.5,200,1,1,1,200,0.8225,50,0.3039513678,33268,14,,,35902,7.3039513678,7.0710678119,1.7320508076,1,1,1,1.7320508076,4.0824829046,182.39517537,3.7416573868,,,,,,,,,,12.825755338,14.142135624,1,1,1,14.142135624,0.9069178574,189.47823094,2.7025823517,7.0710678119,1.7320508076,1,1,1,1.7320508076,4.0824829046,182.39517537,3.7416573868,0,0,0,0,0,0,0,0,0,12.825755338,14.142135624,1,1,1,14.142135624,0.9069178574,189.47823094,2.7025823517,1849
119406,1,0,01/21/2003,08/22/2000,Austria,German,M,1978,22,1552.16,377,117,2499,0.0468187275,3.2222222222,4.1171352785,23.64,0.0152303886,75.9,9,6,566,0.0106007067,1.5,8.4333333333,75.9,1,653644,41943,128,2386,0.0536462699,327.6796875,15.584102234,9279,0.0141958008,33241.64,13.015230389,22138.9,9,45131,7.0141958008,39.397461847,19.416487839,10.816653826,49.989999,0.2163763561,1.7950549357,2.0290725168,182.32290037,3.6076627321,8.7120606058,3,2.4494897428,23.790754507,0.1029597335,1.2247448714,2.9040202019,148.79146481,3,808.48252919,204.79990234,11.313708499,48.846698967,0.2316166443,18.101924967,3.9476704819,212.44057993,2.6484327065,39.397461847,19.416487839,10.816653826,49.989999,0.2163763561,1.7950549357,2.0290725168,182.32290037,3.6076627321,8.7120606058,3,2.4494897428,23.790754507,0.1029597335,1.2247448714,2.9040202019,148.79146481,3,808.48252919,204.79990234,11.313708499,48.846698967,0.2316166443,18.101924967,3.9476704819,212.44057993,2.6484327065,882
